id,date,title,popularity,ticket_type,ticket_status,price_min,price_max,area,tags
23761713,"2016-11-12","Buddy Mondlock at Unitarian Universalist Community Church (November 12, 2016)",7.2e-05,,,,,"Chicago","folk"
24489304,"2016-11-13","WingsNThings: The Music of Paul McCartney at Tulalip Resort Casino (November 13, 2016)",8e-06,,,,,"Seattle",""
24560694,"2016-11-30","The Novatwins at Unknown venue (November 30, 2016)",0.0,,,,,"London",""
24891219,"2016-11-25","Benoit Viellefon with Benoit Viellefon Hot Club at The Nightjar (November 25, 2016)",5.3e-05,,,,,"London",""
24920014,"2016-11-11","Marty Nightengale at Bar Louie (November 11, 2016)",4e-06,,,,,"Denver",""
24920029,"2016-11-19","Marty Nightengale at World of Beer - Cherry Creek (November 19, 2016)",4e-06,,,,,"Denver",""
24920039,"2016-11-26","Marty Nightengale at World of Beer - Belmar (November 26, 2016)",4e-06,,,,,"Denver",""
24920049,"2016-12-09","Marty Nightengale at Bar Louie (December 9, 2016)",4e-06,,,,,"Denver",""
24920064,"2016-12-17","Marty Nightengale at World of Beer - Cherry Creek (December 17, 2016)",4e-06,,,,,"Denver",""
25037374,"2016-11-12","Weston Smith at The Dark Horse (November 12, 2016)",2e-06,,,,,"Denver",""
25037379,"2016-12-03","Weston Smith at The Dark Horse (December 3, 2016)",2e-06,,,,,"Denver",""
25062424,"2016-11-27","Bartosz Głowacki at Unknown venue (November 27, 2016)",2e-06,,,,,"London",""
25075719,"2016-12-02","Jeffrey Scott Stewart at Private Show (December 2, 2016)",2e-06,,,,,"Houston",""
25127549,"2016-11-25","From The Jam with The Chords UK at The Clapham Grand (November 25, 2016)",0.000573,,,,,"London","pop,pop rock,rock"
25174969,"2016-11-12","Dr. Feelgood with Joker's Pack at 100 Club (November 12, 2016)",0.011398,,,,,"London","canvey island,england,rock,rock and indie"
25185649,"2016-11-26","The Wieners at West End Social Club (November 26, 2016)",1.5e-05,,,,,"London",""
25254719,"2016-11-19","Wilco at O2 Academy Brixton (November 19, 2016)",0.159068,,,,,"London","alt-country,alternative country,alternative country rock,alternative rock,american,folk,folk rock,indie rock,rock,rock and indie"
25268449,"2016-12-16","Jeffrey Scott Stewart at Private Show (December 16, 2016)",2e-06,,,,,"Houston",""
25279379,"2016-11-23","Kris Deelane at McMenamin's Edgefield Winery (November 23, 2016)",6e-06,,,,,"Portland",""
25279394,"2016-12-21","Kris Deelane at McMenamin's Edgefield Winery (December 21, 2016)",6e-06,,,,,"Portland",""
25333609,"2016-11-18","Benoit Viellefon with Benoit Viellefon Hot Club at Gin & Jazz - Intercontinental Hotel (November 18, 2016)",4.9e-05,,,,,"London",""
25334669,"2016-11-26","From The Jam at Kingsmeadow (November 26, 2016) (CANCELLED) ",0.000574,,,,,"London","pop,pop rock,rock"
25337299,"2016-12-23","Jeffrey Scott Stewart at Private Show (December 23, 2016)",2e-06,,,,,"Houston",""
25363874,"2016-11-11","Il Divo at Arlene Schnitzer Concert Hall (November 11, 2016)",0.024176,,,,,"Portland","operatic pop"
25363884,"2016-11-13","Il Divo at The Masonic (November 13, 2016)",0.024176,,,,,"SF Bay Area","operatic pop"
25363894,"2016-11-17","Il Divo at Dolby Theatre (November 17, 2016)",0.024176,,"Available",60.2,150.5,"Los Angeles","operatic pop"
25374524,"2016-11-23","Matthew Machanda at El Mocambo (November 23, 2016)",0.0,,,,,"Toronto",""
25374544,"2016-11-28","Matthew Machanda at House of Blues (November 28, 2016)",0.0,,,,,"Chicago",""
25375189,"2016-11-09","Al Smith at Apache Cafe (November 9, 2016)",3.4e-05,,,,,"Atlanta",""
25392519,"2016-11-15","Berliner Philharmoniker at Roy Thomson Hall (November 15, 2016)",0.011083,,"Available",135.0,260.0,"Toronto","classical,european,german,german orchestra,orchestra,symphony orchestra"
25396144,"2016-11-18","Sandra Dean and SANDRA DEAN BAND at Branded 72 (November 18, 2016)",1e-06,,,,,"Washington",""
25396149,"2016-11-23","Sandra Dean at The Winery at Olney (November 23, 2016)",1e-06,,,,,"Washington",""
25396164,"2016-12-03","Sandra Dean and SANDRA DEAN BAND at Hershey's Restaurant (December 3, 2016)",1e-06,,,,,"Washington",""
25396169,"2016-12-06","Sandra Dean at The Grille @ Flower Hill (December 6, 2016)",1e-06,,,,,"Washington",""
25396174,"2016-12-17","Sandra Dean and SANDRA DEAN BAND at Branded 72 (December 17, 2016)",1e-06,,,,,"Washington",""
25413944,"2016-11-13","Ravi Coltrane at City Winery (November 13, 2016)",0.001243,,,,,"Chicago","jazz and blues"
25430934,"2016-11-16","Al Smith at Apache Cafe (November 16, 2016)",3.3e-05,,"Unknown",7.75,28.0,"Atlanta",""
25460764,"2016-11-26","Gordon Lightfoot at Massey Hall (November 26, 2016)",0.030412,,"Available",88.5,128.5,"Toronto","canadian,country,folk,rock"
25460794,"2016-11-23","Gordon Lightfoot at Massey Hall (November 23, 2016)",0.030412,,"Available",41.5,108.5,"Toronto","canadian,country,folk,rock"
25460799,"2016-11-24","Gordon Lightfoot at Massey Hall (November 24, 2016)",0.030412,,"Available",88.5,108.5,"Toronto","canadian,country,folk,rock"
25460804,"2016-11-25","Gordon Lightfoot at Massey Hall (November 25, 2016)",0.030412,,"Available",88.5,128.5,"Toronto","canadian,country,folk,rock"
25470484,"2016-11-09","Motorcycle Roadracing Association at The Walnut Room - Walnut St. (November 9, 2016)",0.0,,,,,"Denver",""
25471744,"2016-12-04","William & the Romantics at Mercury Cafe (December 4, 2016)",3e-06,,,,,"Denver",""
25472359,"2016-11-19","Italian Dire Straits at Eventim Apollo (November 19, 2016) (CANCELLED) ",5.1e-05,,,,,"London",""
25486159,"2016-11-11","Marty Nightengale at Teller's (November 11, 2016)",4e-06,,,,,"Denver",""
25486164,"2016-11-25","Marty Nightengale at Blackstone Country Club (November 25, 2016)",4e-06,,,,,"Denver",""
25486169,"2016-12-02","Marty Nightengale at Pourhouse Bar & Grill (December 2, 2016)",4e-06,,,,,"Denver",""
25486174,"2016-12-09","Marty Nightengale at Teller's (December 9, 2016)",4e-06,,,,,"Denver",""
25486179,"2016-12-16","Marty Nightengale at Blackstone Country Club (December 16, 2016)",4e-06,,,,,"Denver",""
25487469,"2016-12-01","The Cure with The Twilight Sad at SSE Arena, Wembley (December 1, 2016)",0.35887,,"Available",False,False,"London","alternative,alternative rock,britannique,british,classic pop and rock,english,goth,gothic,gothic rock,new wave,pop,pop rock,post-punk,rock,synthpop,uk"
25490734,"2016-11-23","Al Smith at Apache Cafe (November 23, 2016)",3.4e-05,,"Available",7.75,28.0,"Atlanta",""
25491414,"2016-11-11","Robin Williamson at The King's Head, Crouch End (November 11, 2016)",0.000338,,,,,"London","folk"
25516154,"2016-11-15","YolanDa Brown and Shingai Shoniwa at Barbican Centre (November 15, 2016)",0.000188,,,,,"London","gospel,jazz,rhythm and blues,urban contemporary"
25516344,"2016-11-15","Nathaniel Rateliff & The Night Sweats with Nathaniel Rateliff at O2 Academy Brixton (November 15, 2016)",0.011133,,,,,"London",""
25516524,"2016-11-17","La Femme at O2 Shepherd's Bush Empire (November 17, 2016)",0.010332,,,,,"London","australia"
25517649,"2016-11-26","Guilty Pleasures at KOKO (November 26, 2016)",0.000251,,,,,"London",""
25519714,"2016-11-11","Benoit Viellefon with Benoit Viellefon & His Orchestra at The Oriole (November 11, 2016)",5.2e-05,,,,,"London",""
